County,Sub-County,Ward,sub location,Latitude,Longitude,Locality,Date of Start of Outbreak/Event,month,year,,Date of Report,Month,year,Disease/Condition,Nature of Diagnosis,Test Used,Species Affected,Number at Risk,No. sick,Number Dead,Number Slaughtered,Number Destroyed,Production System,Number of Humans Affected (If zoonosis),Disease Control Method,Number Vaccinated,"Organisation (GOK, Private)",Source
Marsabit,Laisamis,Korr/Ngurunit,,2.0026836,37.50188,Village/Farm,12/4/2021,December,2021,,12/8/2021,December,2021,Brucellosis,Clinical,,Goats,52,8,0,0,0,Extensive,0,[No Action],0,GOK,KABS
Marsabit,Laisamis,Korr/Ngurunit,,2.0100975,37.4966443,Village/Farm,12/6/2021,December,2021,,12/8/2021,December,2021,Brucellosis,Clinical,,Goats,26,5,0,0,0,Extensive,0,[Treatment],0,GOK,KABS
Marsabit,Laisamis,Laisamis,,1.584693,37.7959925,Village/Farm,12/13/2021,December,2021,,12/13/2021,December,2021,Brucellosis,Clinical,,Goats,39,11,0,0,0,Extensive,0,[No Action],0,GOK,KABS
Mombasa,Mvita,Tudor,,-0.7621212,36.4315625,Village/Farm,12/16/2021,December,2021,,12/16/2021,December,2021,Anthrax,Clinical,,Cattle,3,1,2,0,0,Intensive,0,"[Treatment, Other]",5,GOK,KABS
Mombasa,Mvita,Tudor,,-0.7622125,36.4315614,Village/Farm,12/16/2021,December,2021,,12/16/2021,December,2021,Anthrax,Clinical,,Cattle,3,1,2,0,0,Intensive,0,"[Treatment, Other]",5,GOK,KABS
Mombasa,Mvita,Tudor,,-0.7621678,36.4315019,Village/Farm,12/16/2021,December,2021,,12/16/2021,December,2021,Anthrax,Clinical,,Cattle,3,1,2,0,0,Intensive,0,"[Treatment, Other]",5,GOK,KABS
Kirinyaga,Kirinyaga West,Kiine,,-0.623535,37.183103,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rabies,Clinical,,Dogs,2,1,0,0,0,N/A,1,"[Isolation, Vaccination]",0,GOK,KABS
Kirinyaga,Kirinyaga West,Kiine,,-0.623535,37.183103,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rabies,Clinical,,Dogs,2,1,0,0,0,N/A,1,"[Vaccination, Isolation]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.160654,39.155571,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,23,3,9,0,0,Extensive,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.160654,39.155571,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.160654,39.155571,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Extensive,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga West,Kiine,,-0.623535,37.183103,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rabies,Clinical,,Dogs,2,1,0,0,0,N/A,1,"[Vaccination, Isolation]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.160654,39.155571,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Extensive,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7621464,36.4315495,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Extensive,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7622126,36.4315592,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,12,0,0,0,Extensive,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.160654,39.155571,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.160654,39.155571,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7622112,36.4315643,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7621208,36.431561,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Extensive,,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7622113,36.4315632,Village/Farm,12/16/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Mixed,15,"[Quarantine, Vector Control]",0,GOK,KABS
Mombasa,Mvita,Tudor,,-4.016991,39.658226,Village/Farm,12/16/2021,December,2021,,12/16/2021,December,2021,Anthrax,Clinical,,Cattle,3,1,2,0,0,Intensive,0,"[Treatment, Vaccination]",5,GOK,KABS
Tana River,Bura,Bangale,,-0.7562234,36.4328789,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.509407,39.108785,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,23,3,9,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Mombasa,Mvita,Tudor,,-0.7621687,36.4314958,Village/Farm,12/16/2021,December,2021,,12/16/2021,December,2021,Anthrax,Clinical,,Cattle,3,1,2,0,0,Intensive,0,"[Treatment, Vaccination]",5,GOK,KABS
Tana River,Bura,Bangale,,-0.762211,36.4315641,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,23,3,9,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7621688,36.4315566,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,23,12,9,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga West,Kiine,,-0.7621692,36.4314994,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rabies,Clinical,,Dogs,2,1,0,0,0,N/A,1,"[Isolation, Vaccination]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7621817,36.4316051,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Mixed,,"[Vector Control, Quarantine]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7621794,36.4315555,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,23,3,9,0,0,Extensive,,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.509407,39.108785,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,23,3,9,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Mombasa,Mvita,Tudor,,-0.7622174,36.4315591,Village/Farm,12/16/2021,December,2021,,12/16/2021,December,2021,Anthrax,Clinical,,Cattle,3,1,2,0,0,Intensive,0,"[Treatment, Vaccination]",5,GOK,KABS
Tana River,Bura,Bangale,,-0.7621682,36.4314951,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Extensive,,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7622126,36.4315592,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Extensive,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7621694,36.431494,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,39,14,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Mombasa,Mvita,Tudor,,-0.7621577,36.4314994,Village/Farm,12/16/2021,December,2021,,12/16/2021,December,2021,Anthrax,Clinical,,Cattle,3,1,2,0,0,Intensive,0,"[Treatment, Other]",5,GOK,KABS
Kirinyaga,Mwea East,Gathigiriri,,-0.7592591,36.4349144,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rabies,Clinical,,Dogs,2,1,0,0,0,N/A,1,"[Isolation, Other]",0,GOK,KABS
Mombasa,Mvita,Tudor,,-0.7621712,36.4315003,Village/Farm,12/16/2021,December,2021,,12/16/2021,December,2021,Anthrax,Clinical,,Cattle,3,1,2,0,0,Intensive,0,"[Quarantine, Other]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7621179,36.4315631,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Laikipia,Laikipia East,Nanyuki,,-0.7621712,36.4315003,Village/Farm,12/16/2021,December,2021,,12/16/2021,December,2021,Rabies,Clinical,,Cattle,13,2,0,0,0,Intensive,0,[No Action],0,GOK,KABS
Tana River,Bura,Bangale,,-0.7621794,36.4315555,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7621687,36.4314974,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,23,3,9,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Mombasa,Mvita,Tudor,,-0.778527,36.441847,Village/Farm,12/16/2021,December,2021,,12/16/2021,December,2021,Anthrax,Clinical,,Cattle,3,1,2,0,0,Intensive,0,"[Treatment, Other]",5,GOK,KABS
Kirinyaga,Kirinyaga West,Kiine,,-0.623535,37.183103,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rabies,Clinical,,Dogs,2,1,0,0,0,N/A,0,"[Vaccination, Isolation]",0,GOK,KABS
Kirinyaga,Mwea West,Wamumu,,-0.7621688,36.4314967,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rabies,Clinical,,Dogs,2,1,0,0,0,N/A,1,"[Other, Isolation]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.623535,37.183103,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Extensive,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7618778,36.4312344,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Extensive,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Mwea West,Kangai,,-0.7622126,36.4315603,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rabies,Clinical,,Dogs,2,1,0,0,0,N/A,1,[Vaccination],0,GOK,KABS
Tana River,Bura,Bangale,,-0.762159,36.4315087,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Extensive,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7621672,36.4314994,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,23,3,9,0,0,Extensive,0,"[Quarantine, Vector Control]",0,GOK,KABS
Mombasa,Mvita,Tudor,,-0.7621675,36.4314978,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Anthrax,Clinical,,Cattle,3,1,2,0,0,Intensive,0,"[Treatment, Other]",5,GOK,KABS
Tana River,Galole,Mikinduni,,-0.7583614,36.4341494,Village/Farm,12/16/2021,December,2021,,12/16/2021,December,2021,Anthrax,Clinical,,Cattle,3,1,2,0,0,Extensive,0,"[Quarantine, Treatment]",5,GOK,KABS
Mombasa,Mvita,Tudor,,-0.7622125,36.4315614,Village/Farm,12/16/2021,December,2021,,12/16/2021,December,2021,Anthrax,Clinical,,Cattle,3,1,2,0,0,Intensive,0,"[Treatment, Vaccination, Other]",5,GOK,KABS
Samburu,Samburu North,Angata Nanyokie,,1.4659921,36.7177935,Village/Farm,12/14/2021,December,2021,,12/16/2021,December,2021,Rabies,Clinical,,Donkey,6,1,0,0,1,Mixed,0,"[Stamping Out, Vaccination]",5,GOK,KABS
Tana River,Bura,Bangale,,-0.7660043,36.4301174,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Anthrax,Clinical,,Cattle,3,2,2,0,0,Intensive,0,"[Treatment, Vaccination]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7622114,36.4315628,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7622114,36.4315636,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7621208,36.4315624,Village/Farm,12/17/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Bungoma,Kabuchai,Kabuchai/Chwele,,0.690059,34.563484,Village/Farm,12/16/2021,December,2021,,12/17/2021,December,2021,Rabies,Clinical,,Cattle,6,1,0,0,0,Extensive,0,[Stamping Out],0,GOK,KABS
Nakuru,Naivasha,Hells Gate,,-0.804482,36.467337,Village/Farm,12/18/2021,December,2021,,12/21/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,44,6,0,0,0,Intensive,0,[No Action],0,GOK,KABS
Nyamira,Kitutu Masaba,Rigoma,,-0.7590112,34.959103,Village/Farm,12/17/2021,December,2021,,12/17/2021,December,2021,Brucellosis,Clinical,,Cattle,3,1,0,0,0,Mixed,0,[Treatment],0,GOK,KABS
Nakuru,Naivasha,Hells Gate,,-0.804482,36.467337,Village/Farm,12/17/2021,December,2021,,12/21/2021,December,2021,Anthrax,Clinical,,Cattle,44,6,2,0,2,Intensive,0,[No Action],0,GOK,KABS
Bungoma,Kabuchai,West Nalondo,,0.6093386,34.5789676,Village/Farm,12/8/2021,December,2021,,12/10/2021,December,2021,Rabies,Clinical,,Cattle,3,1,1,0,1,Mixed,0,[Treatment],0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588646,36.4310779,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588658,36.4310729,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588904,36.431048,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588728,36.4310716,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588815,36.4310402,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga central,Kerugoya,,-0.7588706,36.4310616,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Mixed,0,[Quarantine],0,GOK,KABS
Kirinyaga,Kirinyaga central,Kerugoya,,-0.7588904,36.4310373,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Mixed,0,[Quarantine],0,GOK,KABS
Tana River,Bura,Bangale,,-0.7588891,36.4310494,Village/Farm,12/15/2021,December,2021,,12/21/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Extensive,0,[Quarantine],0,GOK,KABS
Kirinyaga,Kirinyaga central,Kerugoya,,-0.7588783,36.4310655,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Mixed,0,[Quarantine],0,GOK,KABS
Tana River,Bura,Bangale,,-0.7588686,36.4310829,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Extensive,0,[Quarantine],0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588777,36.4310309,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga central,Kerugoya,,-0.7588803,36.4310558,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Mixed,0,[Quarantine],0,GOK,KABS
Kirinyaga,Kirinyaga central,Kerugoya,,-0.7588702,36.4310849,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Mixed,0,[Quarantine],0,GOK,KABS
Tana River,Bura,Bangale,,-0.7588799,36.431076,Village/Farm,12/22/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Extensive,0,[Quarantine],0,GOK,KABS
Tana River,Bura,Bangale,,-0.7588683,36.4310755,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Intensive,0,[Quarantine],0,GOK,KABS
Kirinyaga,Kirinyaga central,Kerugoya,,-0.7588749,36.4310763,Village/Farm,12/15/2021,December,2021,,12/16/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Mixed,0,[Quarantine],0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588775,36.4310671,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7588782,36.4310591,Village/Farm,12/16/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Cattle,15,5,0,0,0,Extensive,0,[Quarantine],0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588734,36.4310685,Village/Farm,12/15/2021,December,2021,,12/15/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588811,36.4310544,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,23,3,9,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588904,36.431048,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Mixed,0,"[Vector Control, Quarantine]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588719,36.4310824,Village/Farm,12/15/2021,December,2021,,12/15/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,23,3,9,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588686,36.4310821,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588687,36.4310798,Village/Farm,12/15/2021,December,2021,,12/21/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588705,36.4310672,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588732,36.4310754,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,23,3,9,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588761,36.43106,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588699,36.4310768,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,23,3,9,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7588725,36.4310575,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,33,2,0,0,0,Extensive,0,[Quarantine],0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.758866,36.4310796,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,23,3,9,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.7588904,36.431048,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,23,3,9,0,0,Mixed,0,"[Vector Control, Quarantine]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7588776,36.4310736,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Extensive,0,[Quarantine],0,GOK,KABS
Kirinyaga,Kirinyaga East,Kabare,,-0.758878,36.4310604,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Goats,32,3,23,0,0,Mixed,0,"[Quarantine, Vector Control]",0,GOK,KABS
Tana River,Bura,Bangale,,-0.7588644,36.4310651,Village/Farm,12/15/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Extensive,0,[Quarantine],0,GOK,KABS
Tana River,Bura,Bangale,,-0.7588749,36.4310582,Village/Farm,12/16/2021,December,2021,,12/22/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Extensive,0,[Quarantine],0,GOK,KABS
Tana River,Bura,Bangale,,-0.7588715,36.4310759,Village/Farm,12/15/2021,December,2021,,12/15/2021,December,2021,Rift Valley Fever (RVF),Clinical,,Sheep,31,14,0,0,0,Extensive,0,[Quarantine],0,GOK,KABS
